loss,params,iteration,estimators,train_time
0.8742653999191846,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.0576117165935792, 'max_depth': 17, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 72, 'objective': 'multiclass'}",1,500,158.86952829360962
0.8752696876942074,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.044788667562127495, 'max_depth': 21, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 10, 'objective': 'multiclass'}",2,500,63.416056871414185
0.9293445789195253,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.1904306682956599, 'max_depth': 21, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 41, 'objective': 'multiclass'}",3,500,49.83987545967102
0.4921266764825848,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.012067262641775546, 'max_depth': 15, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 21, 'objective': 'multiclass'}",4,500,1828.213312625885
0.9161079664104785,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.14588705197725826, 'max_depth': 28, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 46, 'objective': 'multiclass'}",5,500,59.98160195350647
0.9042207104994373,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.08078279775421539, 'max_depth': 23, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 52, 'objective': 'multiclass'}",6,500,93.6971070766449
0.4576141435569352,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.019637862521276073, 'max_depth': 18, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 32, 'objective': 'multiclass'}",7,500,2330.0630536079407
0.9141284711955913,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.10324163387529235, 'max_depth': 29, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 12, 'objective': 'multiclass'}",8,500,38.11528992652893
0.7918784378508699,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.03744990005832351, 'max_depth': 23, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 16, 'objective': 'multiclass'}",9,500,178.47904562950134
0.8580165647954069,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.05227286018764356, 'max_depth': 19, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 42, 'objective': 'multiclass'}",10,500,194.6174292564392
0.5087826442969345,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.02208330682147198, 'max_depth': 27, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 25, 'objective': 'multiclass'}",11,500,1339.754090309143
0.500323498522266,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.01052519478355112, 'max_depth': 23, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 27, 'objective': 'multiclass'}",12,500,2088.506242275238
0.459250431881706,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.020147970797892985, 'max_depth': 24, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 45, 'objective': 'multiclass'}",13,500,2786.4782071113586
0.4788416095175778,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.01319161577802414, 'max_depth': 15, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 45, 'objective': 'multiclass'}",14,500,2491.6030266284943
0.4797446541141661,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.01269572391867854, 'max_depth': 27, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 43, 'objective': 'multiclass'}",15,500,2739.3316490650177
0.9059838316872635,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.08298584219283942, 'max_depth': 24, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 36, 'objective': 'multiclass'}",16,500,73.50423669815063
0.8709884717435207,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.05638886360848543, 'max_depth': 21, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 73, 'objective': 'multiclass'}",17,500,163.11933183670044
0.9236594289635861,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.17827768699875435, 'max_depth': 18, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 10, 'objective': 'multiclass'}",18,500,30.381136894226074
0.9013350812180757,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.07415373728214178, 'max_depth': 18, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 41, 'objective': 'multiclass'}",19,500,83.31217360496521
0.8815072537250487,"{'boosting_type': 'gbdt', 'feature_fraction': 0.1, 'learning_rate': 0.05777578763704098, 'max_depth': 18, 'metric': ('multi_error',), 'num_class': 707, 'num_leaves': 26, 'objective': 'multiclass'}",20,500,97.98980045318604
